name,gender,dateOfBirth,placeOfBirth,status,dateOfDeath,fatherName,motherName,spouseName,occupation,education,address,phone,email,notes
"Raden Soekamto","M","15/03/1930","Yogyakarta","Deceased","12/08/1995","","","Siti Aminah","Guru","SMA","Jl. Malioboro No. 45, Yogyakarta","","","Pendiri keluarga, mantan guru SMA"
"Siti Aminah","F","20/07/1935","Solo","Deceased","05/11/2005","","","Raden Soekamto","Ibu Rumah Tangga","SMP","Jl. Malioboro No. 45, Yogyakarta","","","Ibu dari 4 anak"
"Budi Santoso","M","10/01/1955","Yogyakarta","Living","","Raden Soekamto","Siti Aminah","Dewi Lestari","Dokter","S1 Kedokteran","Jl. Sudirman No. 123, Jakarta","081234567890","budi.santoso@email.com","Anak pertama, praktik di Jakarta"
"Dewi Lestari","F","15/05/1958","Jakarta","Living","","","","Budi Santoso","Pengusaha","S1 Ekonomi","Jl. Sudirman No. 123, Jakarta","081234567891","dewi.lestari@email.com","Pemilik toko kain"
"Siti Rahayu","F","22/08/1957","Yogyakarta","Living","","Raden Soekamto","Siti Aminah","Ahmad Dahlan","Perawat","D3 Keperawatan","Jl. Gajah Mada No. 67, Semarang","081234567892","siti.rahayu@email.com","Anak kedua, bekerja di RS"
"Ahmad Dahlan","M","18/03/1955","Semarang","Living","","","","Siti Rahayu","Pengacara","S1 Hukum","Jl. Gajah Mada No. 67, Semarang","081234567893","ahmad.dahlan@email.com","Pengacara senior"
"Bambang Wijaya","M","30/11/1960","Yogyakarta","Living","","Raden Soekamto","Siti Aminah","Indah Permata","Insinyur","S1 Teknik Sipil","Jl. Asia Afrika No. 89, Bandung","081234567894","bambang.wijaya@email.com","Anak ketiga, kerja di kontraktor"
"Indah Permata","F","12/02/1963","Bandung","Living","","","","Bambang Wijaya","Guru","S1 Pendidikan","Jl. Asia Afrika No. 89, Bandung","081234567895","indah.permata@email.com","Guru SD"
"Suryani Kartini","F","05/06/1962","Yogyakarta","Living","","Raden Soekamto","Siti Aminah","Hendra Kusuma","Apoteker","S1 Farmasi","Jl. Diponegoro No. 34, Surabaya","081234567896","suryani.kartini@email.com","Anak keempat, punya apotek"
"Hendra Kusuma","M","25/09/1960","Surabaya","Living","","","","Suryani Kartini","Akuntan","S1 Akuntansi","Jl. Diponegoro No. 34, Surabaya","081234567897","hendra.kusuma@email.com","Akuntan publik"
"Andi Pratama","M","08/04/1980","Jakarta","Living","","Budi Santoso","Dewi Lestari","Rina Maharani","Programmer","S1 Informatika","Jl. Kuningan No. 56, Jakarta","081234567898","andi.pratama@email.com","Cucu pertama dari Budi"
"Rina Maharani","F","14/07/1982","Jakarta","Living","","","","Andi Pratama","Designer","S1 Desain Grafis","Jl. Kuningan No. 56, Jakarta","081234567899","rina.maharani@email.com","Bekerja di agency"
"Dian Puspita","F","20/12/1983","Jakarta","Living","","Budi Santoso","Dewi Lestari","Rizki Gunawan","Dokter Gigi","S1 Kedokteran Gigi","Jl. Menteng No. 78, Jakarta","081234567800","dian.puspita@email.com","Cucu kedua dari Budi"
"Rizki Gunawan","M","16/08/1981","Jakarta","Living","","","","Dian Puspita","Arsitek","S1 Arsitektur","Jl. Menteng No. 78, Jakarta","081234567801","rizki.gunawan@email.com","Punya firma arsitektur"
"Fajar Nugroho","M","11/09/1985","Jakarta","Living","","Budi Santoso","Dewi Lestari","","Marketing","S1 Marketing","Jl. Kemang No. 45, Jakarta","081234567802","fajar.nugroho@email.com","Cucu ketiga dari Budi, belum menikah"
"Maya Anggraini","F","28/02/1978","Semarang","Living","","Ahmad Dahlan","Siti Rahayu","Bagus Setiawan","Psikolog","S2 Psikologi","Jl. Pemuda No. 12, Semarang","081234567803","maya.anggraini@email.com","Cucu dari Ahmad & Siti"
"Bagus Setiawan","M","03/06/1976","Semarang","Living","","","","Maya Anggraini","Dosen","S2 Sastra","Jl. Pemuda No. 12, Semarang","081234567804","bagus.setiawan@email.com","Dosen Universitas"
"Rudi Hermawan","M","19/10/1981","Semarang","Living","","Ahmad Dahlan","Siti Rahayu","Sari Wulandari","Polisi","Akademi Kepolisian","Jl. Pandanaran No. 90, Semarang","081234567805","rudi.hermawan@email.com","Cucu kedua dari Ahmad"
"Sari Wulandari","F","22/04/1983","Semarang","Living","","","","Rudi Hermawan","Guru","S1 Pendidikan","Jl. Pandanaran No. 90, Semarang","081234567806","sari.wulandari@email.com","Guru SMP"
"Eko Prasetyo","M","07/07/1982","Bandung","Living","","Bambang Wijaya","Indah Permata","Linda Safitri","Pilot","S1 Penerbangan","Jl. Dago No. 23, Bandung","081234567807","eko.prasetyo@email.com","Cucu dari Bambang"
"Linda Safitri","F","12/11/1984","Bandung","Living","","","","Eko Prasetyo","Pramugari","D3 Perhotelan","Jl. Dago No. 23, Bandung","081234567808","linda.safitri@email.com","Pramugari maskapai nasional"
"Tari Mustika","F","30/05/1986","Bandung","Living","","Bambang Wijaya","Indah Permata","Yoga Saputra","Fotografer","S1 Seni Rupa","Jl. Braga No. 45, Bandung","081234567809","tari.mustika@email.com","Cucu kedua dari Bambang"
"Yoga Saputra","M","18/01/1985","Bandung","Living","","","","Tari Mustika","Videografer","S1 Film","Jl. Braga No. 45, Bandung","081234567810","yoga.saputra@email.com","Punya studio produksi"
"Arya Mahendra","M","25/03/1979","Surabaya","Living","","Hendra Kusuma","Suryani Kartini","Nina Octavia","Farmasis","S1 Farmasi","Jl. Basuki Rahmat No. 67, Surabaya","081234567811","arya.mahendra@email.com","Cucu dari Hendra, lanjutkan apotek keluarga"
"Nina Octavia","F","09/09/1981","Surabaya","Living","","","","Arya Mahendra","Bidan","D3 Kebidanan","Jl. Basuki Rahmat No. 67, Surabaya","081234567812","nina.octavia@email.com","Praktik bidan"
"Putri Wulan","F","14/12/1983","Surabaya","Living","","Hendra Kusuma","Suryani Kartini","Dimas Pradipta","Pengusaha","S1 Manajemen","Jl. Tunjungan No. 88, Surabaya","081234567813","putri.wulan@email.com","Cucu kedua dari Hendra"
"Dimas Pradipta","M","21/06/1982","Surabaya","Living","","","","Putri Wulan","Pengusaha","S1 Ekonomi","Jl. Tunjungan No. 88, Surabaya","081234567814","dimas.pradipta@email.com","Punya bisnis kuliner"
"Aditya Pratama","M","15/05/2005","Jakarta","Living","","Andi Pratama","Rina Maharani","","Mahasiswa","SMA","Jl. Kuningan No. 56, Jakarta","081234567815","aditya.pratama@email.com","Cicit, kuliah Teknik Informatika"
"Cantika Putri","F","23/08/2007","Jakarta","Living","","Andi Pratama","Rina Maharani","","Pelajar","SMP","Jl. Kuningan No. 56, Jakarta","081234567816","cantika.putri@email.com","Cicit, pelajar SMP"
"Bintang Ramadhan","M","10/03/2009","Jakarta","Living","","Andi Pratama","Rina Maharani","","Pelajar","SD","Jl. Kuningan No. 56, Jakarta","081234567817","bintang.ramadhan@email.com","Cicit, pelajar SD"
"Alisha Zahra","F","18/11/2006","Jakarta","Living","","Rizki Gunawan","Dian Puspita","","Pelajar","SMA","Jl. Menteng No. 78, Jakarta","081234567818","alisha.zahra@email.com","Cicit, SMA jurusan IPA"
"Kevin Adiputra","M","22/01/2010","Jakarta","Living","","Rizki Gunawan","Dian Puspita","","Pelajar","SD","Jl. Menteng No. 78, Jakarta","081234567819","kevin.adiputra@email.com","Cicit, hobi main bola"
"Sarah Azzahra","F","07/04/2004","Semarang","Living","","Bagus Setiawan","Maya Anggraini","","Mahasiswa","SMA","Jl. Pemuda No. 12, Semarang","081234567820","sarah.azzahra@email.com","Cicit, kuliah Psikologi"
"Farhan Maulana","M","30/09/2008","Semarang","Living","","Bagus Setiawan","Maya Anggraini","","Pelajar","SMP","Jl. Pemuda No. 12, Semarang","081234567821","farhan.maulana@email.com","Cicit, atlet renang"
"Nabila Putri","F","12/12/2007","Semarang","Living","","Rudi Hermawan","Sari Wulandari","","Pelajar","SMP","Jl. Pandanaran No. 90, Semarang","081234567822","nabila.putri@email.com","Cicit, hobi menari"
"Rafa Adhitya","M","25/06/2010","Semarang","Living","","Rudi Hermawan","Sari Wulandari","","Pelajar","SD","Jl. Pandanaran No. 90, Semarang","081234567823","rafa.adhitya@email.com","Cicit, suka coding"
"Kirana Dewi","F","08/02/2006","Bandung","Living","","Eko Prasetyo","Linda Safitri","","Pelajar","SMA","Jl. Dago No. 23, Bandung","081234567824","kirana.dewi@email.com","Cicit, cita-cita pilot"
"Raffi Alam","M","19/07/2009","Bandung","Living","","Eko Prasetyo","Linda Safitri","","Pelajar","SD","Jl. Dago No. 23, Bandung","081234567825","raffi.alam@email.com","Cicit, hobi pesawat"
"Keysha Amelia","F","05/10/2008","Bandung","Living","","Yoga Saputra","Tari Mustika","","Pelajar","SMP","Jl. Braga No. 45, Bandung","081234567826","keysha.amelia@email.com","Cicit, bakat fotografi"
"Zidan Akbar","M","14/04/2005","Surabaya","Living","","Arya Mahendra","Nina Octavia","","Mahasiswa","SMA","Jl. Basuki Rahmat No. 67, Surabaya","081234567827","zidan.akbar@email.com","Cicit, kuliah Farmasi"
"Rania Syifa","F","28/08/2007","Surabaya","Living","","Arya Mahendra","Nina Octavia","","Pelajar","SMP","Jl. Basuki Rahmat No. 67, Surabaya","081234567828","rania.syifa@email.com","Cicit, hobi memasak"
"Farel Naufal","M","16/03/2006","Surabaya","Living","","Dimas Pradipta","Putri Wulan","","Pelajar","SMA","Jl. Tunjungan No. 88, Surabaya","081234567829","farel.naufal@email.com","Cicit, bantu bisnis keluarga"
"Zahra Amira","F","11/11/2009","Surabaya","Living","","Dimas Pradipta","Putri Wulan","","Pelajar","SD","Jl. Tunjungan No. 88, Surabaya","081234567830","zahra.amira@email.com","Cicit, suka kuliner"
"Arkan Mahesa","M","20/02/2024","Jakarta","Living","","Aditya Pratama","","","Balita","Belum sekolah","Jl. Kuningan No. 56, Jakarta","","","Generasi ke-5, masih bayi"
"Kayla Assyifa","F","15/09/2023","Jakarta","Living","","Kevin Adiputra","","","Balita","Belum sekolah","Jl. Menteng No. 78, Jakarta","","","Generasi ke-5, balita"
"Azka Ramadhan","M","08/06/2024","Semarang","Living","","Farhan Maulana","","","Balita","Belum sekolah","Jl. Pemuda No. 12, Semarang","","","Generasi ke-5, bayi"
"Luna Zahra","F","30/12/2023","Bandung","Living","","Raffi Alam","","","Balita","Belum sekolah","Jl. Dago No. 23, Bandung","","","Generasi ke-5, balita"
